"time","Q_m3pd"
2022-03-16,192.215218159444
2022-03-17,134.550652711611
2022-03-18,94.1854568981278
2022-03-19,65.9298198286894
2022-03-20,46.1508738800826
2022-03-21,32.3056117160578
2022-03-22,22.6139282012405
2022-03-23,1319.45508311298
2022-03-24,923.618558179085
2022-03-25,646.532990725359
2022-03-26,452.573093507752
2022-03-27,316.801165455426
2022-03-28,221.760815818798
2022-03-29,155.232571073159
2022-03-30,108.662799751211
2022-03-31,76.0639598258478
2022-04-01,53.2447718780935
2022-04-02,37.2713403146654
2022-04-03,26.0899382202658
2022-04-04,18.2629567541861
2022-04-05,12.7840697279302
2022-04-06,1526.15411238812
2022-04-07,1068.30787867168
2022-04-08,747.815515070177
2022-04-09,523.470860549124
2022-04-10,366.429602384387
2022-04-11,256.500721669071
2022-04-12,179.55050516835
2022-04-13,125.685353617845
2022-04-14,87.9797475324913
2022-04-15,61.5858232727439
2022-04-16,43.1100762909207
2022-04-17,30.1770534036445
2022-04-18,2142.84197320106
2022-04-19,1499.98938124074
2022-04-20,1049.99256686852
2022-04-21,734.994796807963
2022-04-22,514.496357765574
2022-04-23,360.147450435902
2022-04-24,252.103215305131
2022-04-25,176.472250713592
2022-04-26,123.530575499514
2022-04-27,86.4714028496601
2022-04-28,60.529981994762
2022-04-29,42.3709873963334
2022-04-30,29.6596911774334
2022-05-01,20.7617838242034
2022-05-02,14.5332486769424
2022-05-03,10.1732740738597
2022-05-04,7.12129185170176
2022-05-05,4.98490429619123
2022-05-06,367.64407192496
2022-05-07,1074.55084754716
2022-05-08,752.18559328301
2022-05-09,526.529915298107
2022-05-10,368.570940708675
2022-05-11,257.999658496073
2022-05-12,180.599760947251
2022-05-13,126.419832663076
2022-05-14,88.4938828641529
2022-05-15,61.945718004907
2022-05-16,43.3620026034349
2022-05-17,30.3534018224044
2022-05-18,21.2473812756831
2022-05-19,14.8731668929782
2022-05-20,10.4112168250847
2022-05-21,7.28785177755931
2022-05-22,5.10149624429151
2022-05-23,895.521714797854
2022-05-24,4056.23317511287
2022-05-25,2839.36322257901
2022-05-26,1987.55425580531
2022-05-27,1391.28797906371
2022-05-28,973.9015853446
2022-05-29,681.73110974122
2022-05-30,477.211776818854
2022-05-31,334.048243773198
2022-06-01,233.833770641239
2022-06-02,163.683639448867
2022-06-03,114.578547614207
2022-06-04,80.2049833299448
2022-06-05,56.1434883309614
2022-06-06,39.300441831673
2022-06-07,27.5103092821711
2022-06-08,245.357612174166
2022-06-09,171.750328521916
2022-06-10,120.225229965341
2022-06-11,84.1576609757389
2022-06-12,58.9103626830172
2022-06-13,41.2372538781121
2022-06-14,28.8660777146784
2022-06-15,20.2062544002749
2022-06-16,14.1443780801924
2022-06-17,9.90106465613471
2022-06-18,6.93074525929429
2022-06-19,4.85152168150601
2022-06-20,3.3960651770542
2022-06-21,2.37724562393794
2022-06-22,1.66407193675656
2022-06-23,1.16485035572959
2022-06-24,0.815395249010714
2022-06-25,0.5707766743075
2022-06-26,129.536443455423
2022-06-27,90.675510418796
2022-06-28,63.4728572931572
2022-06-29,44.4310001052101
2022-06-30,31.1017000736471
2022-07-01,21.7711900515529
2022-07-02,15.2398330360871
2022-07-03,10.6678831252609
2022-07-04,7.46751818768266
2022-07-05,5.22726273137786
2022-07-06,3.6590839119645
2022-07-07,2.56135873837515
2022-07-08,1.79295111686261
2022-07-09,1953.18666050162
2022-07-10,1367.23066235114
2022-07-11,957.061463645796
2022-07-12,669.943024552057
2022-07-13,468.96011718644
2022-07-14,328.272082030508
2022-07-15,229.790457421356
2022-07-16,160.853320194949
2022-07-17,112.597324136464
2022-07-18,78.818126895525
2022-07-19,55.1726888268675
2022-07-20,38.6208821788072
2022-07-21,27.0346175251651
2022-07-22,18.9242322676156
2022-07-23,13.2469625873309
2022-07-24,9.27287381113162
2022-07-25,6.49101166779213
2022-07-26,62.1100895996534
2022-07-27,297.672307930319
2022-07-28,208.370615551223
2022-07-29,145.859430885856
2022-07-30,102.101601620099
2022-07-31,203.507552647191
2022-08-01,142.455286853034
2022-08-02,99.7187007971238
2022-08-03,69.8030905579866
2022-08-04,48.8621633905907
2022-08-05,34.2035143734135
2022-08-06,23.9424600613894
2022-08-07,16.7597220429726
2022-08-08,11.7318054300808
2022-08-09,8.21226380105657
2022-08-10,5.7485846607396
2022-08-11,4.02400926251772
2022-08-12,2.8168064837624
2022-08-13,1.97176453863368
2022-08-14,1.38023517704358
2022-08-15,0.966164623930505
2022-08-16,0.676315236751354
2022-08-17,0.473420665725947
2022-08-18,0.331394466008163
2022-08-19,0.231976126205714
2022-08-20,0.162383288344
2022-08-21,521.290418544055
2022-08-22,364.903292980839
2022-08-23,255.432305086587
2022-08-24,178.802613560611
2022-08-25,125.161829492428
2022-08-26,87.6132806446994
2022-08-27,61.3292964512896
2022-08-28,42.9305075159027
2022-08-29,30.0513552611319
2022-08-30,21.0359486827923
2022-08-31,14.7251640779546
2022-09-01,10.3076148545682
2022-09-02,7.21533039819777
2022-09-03,5.05073127873844
2022-09-04,3.53551189511691
2022-09-05,530.305814621415
2022-09-06,566.442208012721
2022-09-07,396.509545608905
2022-09-08,277.556681926233
2022-09-09,194.289677348363
2022-09-10,136.002774143854
2022-09-11,95.2019419006981
2022-09-12,66.6413593304887
2022-09-13,46.6489515313421
2022-09-14,32.6542660719394
2022-09-15,22.8579862503576
2022-09-16,16.0005903752503
2022-09-17,11.2004132626752
2022-09-18,7.84028928387266
2022-09-19,5.48820249871086
2022-09-20,3.8417417490976
2022-09-21,2.68921922436832
2022-09-22,1.88245345705783
2022-09-23,1.31771741994048
2022-09-24,0.922402193958335
2022-09-25,0.645681535770834
2022-09-26,0.451977075039584
2022-09-27,0.316383952527709
2022-09-28,0.221468766769396
2022-09-29,0.155028136738577
2022-09-30,1125.60556987473
2022-10-01,8188.90417017013
2022-10-02,5732.23291911909
2022-10-03,4012.56304338337
2022-10-04,2808.79413036836
2022-10-05,1966.15589125785
2022-10-06,1376.30912388049
2022-10-07,963.416386716346
2022-10-08,674.391470701442
2022-10-09,472.07402949101
2022-10-10,330.451820643707
2022-10-11,231.316274450595
2022-10-12,161.921392115416
2022-10-13,113.344974480791
2022-10-14,79.341482136554
2022-10-15,55.5390374955878
2022-10-16,38.8773262469115
2022-10-17,556.978105020753
2022-10-18,389.884673514527
2022-10-19,272.919271460169
2022-10-20,191.043490022118
2022-10-21,133.730443015483
2022-10-22,93.611310110838
2022-10-23,65.5279170775866
2022-10-24,45.8695419543106
2022-10-25,32.1086793680174
2022-10-26,22.4760755576122
2022-10-27,15.7332528903285
2022-10-28,11.01327702323
2022-10-29,7.70929391626099
2022-10-30,5.39650574138269
2022-10-31,3.77755401896788
2022-11-01,2.64428781327752
2022-11-02,1.85100146929426
2022-11-03,1.29570102850598
2022-11-04,0.906990719954189
2022-11-05,0.634893503967932
2022-11-06,0.444425452777553
2022-11-07,0.311097816944287
2022-11-08,0.217768471861001
2022-11-09,0.152437930302701
2022-11-10,0.10670655121189
2022-11-11,3819.0931497886
2022-11-12,2673.36520485202
2022-11-13,1871.35564339642
2022-11-14,1309.94895037749
2022-11-15,916.964265264244
2022-11-16,641.874985684971
2022-11-17,449.31248997948
2022-11-18,314.518742985636
2022-11-19,220.163120089945
2022-11-20,154.114184062962
2022-11-21,107.879928844073
2022-11-22,75.5159501908512
2022-11-23,52.8611651335958
